"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Javonte Williams","155","135.3","-0.14","130","DAL","RB","49","","af512904-a1c9-4f40-ac9b-3f04329bc6b8"
"Miles Sanders","156","190.7","0.19","","DAL","RB","50","","f24adb34-5412-4edf-95ff-6b68e5fbd41d"
"Jerome Ford","157","163.7","0.05","112","CLE","RB","51","","47a14de7-342a-4a2d-b5ea-2e4cca880e67"
"Jaylen Wright","158","171.5","0.08","303","MIA","RB","52","","fa1a54e5-4c1c-45b8-9e9a-3c1568a28d6b"
"Chig Okonkwo","159","187.5","0.16","221","TEN","TE","17","","2a65964a-1345-435e-998e-ee29adf6d251"
"Sam Darnold","160","179.1","0.11","109","SEA","QB","25","","afb9a9f4-bacd-46f5-ad31-80b2427eae28"
"Cameron Ward","161","155.6","-0.03","","TEN","QB","26","Rookie","ff6b158c-6ff5-45c7-879e-32086288c5fb"
"Quinshon Judkins","162","142.4","-0.07","","CLE","RB","53","Rookie","513473ee-8e3f-48d1-a0fc-a4f77bc195b9"
"Austin Ekeler","163","167.6","0.03","115","WAS","RB","54","","566b0f64-6a4f-4882-aa36-99d15ce990f5"
"Rachaad White","164","149.6","-0.09","58","TB","RB","55","","9012f171-568e-4292-94ba-f4b308eac941"
"Najee Harris","165","152","-0.08","90","LAC","RB","56","","3a9a963f-6618-40ac-93c6-96ea04cb223f"
"Roschon Johnson","166","180","0.03","219","CHI","RB","58","","3e43e336-3c1d-430f-8961-701e685e8d5d"
"Isaiah Likely","167","166.3","0","126","BAL","TE","18","","427d8203-aea8-4b01-972f-039aa0baa0c3"
"Jonnu Smith","168","178","0.06","64","PIT","TE","19","","c6ad3f37-27db-4232-99cc-aeed22777e85"
"Hunter Henry","169","159.5","-0.06","158","NE","TE","20","","24e943a8-7926-4012-9d7e-138315b764cd"
"Brenton Strange","170","155.2","-0.1","242","JAX","TE","21","","951df6a2-c1b0-499f-819e-67798c2cc6a2"
"Zach Ertz","171","166.9","-0.02","110","WAS","TE","22","","44a906d5-b179-45f9-b69f-281595bea71d"
"Theo Johnson","172","211.6","0.19","251","NYG","TE","23","","3349f39b-9dd6-42f3-a50c-8f7e8134d2bf"
"Xavier Legette","173","156.7","-0.05","179","CAR","WR","67","","a18e7872-b3df-4c74-8130-feb720a928c1"
"Michael Wilson","174","191.7","0.13","209","ARI","WR","68","","9e0a17b1-fda3-4066-aa3c-4f742588536c"
"Anthony Richardson","175","173.9","0.01","129","IND","QB","27","","ab78a171-01c4-457c-aa8c-7fd835bff986"
"Matthew Stafford","176","169.5","-0.03","183","LA","QB","28","","50be3583-2a3d-455a-91ce-ba6959783642"
"Keaton Mitchell","177","190.9","0.07","","BAL","RB","57","","b760285b-f146-44b7-91a6-80b79734aa3a"
"Jaxson Dart","178","213","0.17","","NYG","QB","29","Rookie","0e7d3cb4-f568-41e0-88e6-7812989ae958"
"Jalen Coker","179","211.4","0.1","138","CAR","WR","74","","c9e2cfc7-8db1-49ab-944b-61108f687aca"
"Tre Harris","180","123.7","-0.45","","LAC","WR","69","Rookie","06bb179e-5f55-4679-9f0d-e94d1c5dff0c"
"Quentin Johnston","181","157.5","-0.14","76","LAC","WR","70","","82b3392d-0403-4cc7-9adc-8881b1647655"
"DeAndre Hopkins","182","194.4","0.07","142","BAL","WR","71","","54ad314c-d98a-4087-9831-d9fe55233e1c"
"Dyami Brown","183","186.9","0.03","195","JAX","WR","72","","9f137949-d162-475c-bf95-9d43e7d58824"
"Wan'Dale Robinson","184","174.4","-0.05","164","NYG","WR","73","","42be1a8b-6bdd-4bda-a857-3a01bbc6aeac"
"Daniel Jones","185","212.6","0.13","189","IND","QB","30","","0b920098-c972-4e90-9e89-7430232e7567"
"Russell Wilson","186","207.7","0.11","166","NYG","QB","31","","0a189fd2-3410-4074-a5c6-0197f8d4041c"
"DJ Giddens","187","208.7","0.16","","IND","RB","59","Rookie","5187785b-3707-4207-aee0-a55778dfb9a1"
"Jaydon Blue","188","143.2","-0.31","","DAL","RB","60","Rookie","e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c"
"Jacory Croskey-Merritt","189","176.6","-0.06","","WAS","RB","61","Rookie","f47f5778-3c4d-4320-a4f9-cb57a229024a"
"Blake Corum","190","212.5","0.11","","LA","RB","63","","e34d874e-3fef-4059-887e-33a2485c13b6"
"Alec Pierce","191","184.4","-0.04","84","IND","WR","75","","bc9e2c1b-6bb4-4bc9-84af-202f71c65de7"
"Jalen McMillan","192","165.5","-0.17","79","TB","WR","76","","2b703cdf-19c6-44bc-9061-11994c555ce9"
"Jaylin Noel","193","196.8","0.01","","HOU","WR","77","Rookie","3dbcda8c-adc6-4d3e-9ed8-12b7581aa0ba"
"Aaron Rodgers","194","192.9","-0.01","165","PIT","QB","32","","1bd33029-b88d-43fa-998e-775a6741a5e7"
"MarShawn Lloyd","195","214.9","0.09","","GB","RB","64","","664c1862-20fe-40a8-ac7e-ff868858dcb9"
"Kendre Miller","196","215.3","0.08","","NO","RB","65","","5f9ab9ae-8374-4dca-8ff1-660f399c587c"
"Tahj Brooks","197","198.7","0","","CIN","RB","66","Rookie","10b8eca4-c667-4927-a2ab-e24021ad18a5"
"Mason Taylor","198","193.8","-0.03","","NYJ","TE","24","Rookie","a6ce2c32-ead2-45cf-8add-22978d63a07e"
"Juwan Johnson","199","211.3","0.05","210","NO","TE","25","","10b27c42-0621-472d-bfa7-3f6c598980be"
"Ja'Tavion Sanders","200","196.4","-0.02","274","CAR","TE","26","","5357fee8-c779-4442-8e21-286ad59d4cbd"
"Cade Otton","201","188.1","-0.07","120","TB","TE","27","","027fe218-a84a-450c-a89d-7ad6c4cf94b9"
"Dalton Schultz","202","206.9","0.02","231","HOU","TE","28","","ba19979f-896f-429f-89b1-0280ab4b6052"
"Kareem Hunt","203","209.5","0.03","","KC","RB","67","","011d7af8-9fc6-47e2-b1c7-60ad22188306"
"Justice Hill","204","209.3","0.02","147","BAL","RB","68","","8f4756df-0eba-4393-bc91-cd38984dcda8"
"Nick Chubb","205","164.1","-0.26","","HOU","RB","69","","6958938f-e1b1-4a04-9277-0d13ce07df21"
"Kyle Monangai","206","208.2","0.09","","CHI","RB","62","Rookie","2521c244-cb3c-497e-b928-9c2f542bb7c3"
"Darren Waller","207","210.5","0.02","","MIA","TE","29","","0126a927-560d-4751-9de5-9aee8a3a8a67"
"Mike Gesicki","208","186.7","-0.11","132","CIN","TE","30","","a228fb38-ae0f-469d-984a-a7a3a904020d"
"Calvin Austin III","209","206.6","-0.01","163","PIT","WR","78","","c5278c01-f7c3-4163-9ed0-9b76a84b06d3"
"Tre Tucker","210","214","0.02","154","LV","WR","79","","aaefaf37-9d15-4306-ad32-8f6245e98a4d"
"Andrei Iosivas","211","206","-0.02","185","CIN","WR","80","","d49688f7-ce90-44b2-99ee-0b1c78eec8f3"
"Tory Horton","212","196.3","-0.08","","SEA","WR","81","Rookie","0407fcef-4a8c-4e2f-bef3-779851de306f"
"Sean Tucker","213","212.4","0","","TB","RB","70","","89c932e5-9b13-487f-97c6-c23a2864510e"
"Jarquez Hunter","214","213","0","","LA","RB","71","Rookie","e5efd76e-3450-4e90-b4a4-74a10f8cef0b"
"Isaiah Davis","215","215.9","0","204","NYJ","RB","72","","6740daf6-d0f8-46cd-ae2c-7dc4774b6de0"
"Devin Singletary","216","215.9","0","160","NYG","RB","73","","ca78bb58-7fcc-48a2-9e66-5c5f01a1e0bb"
"Raheem Mostert","217","215.1","-0.01","202","LV","RB","74","","013d1f80-d88b-47c2-b6b9-d0c833e1cdba"
"Jack Bech","218","186","-0.17","","LV","WR","82","Rookie","3506f452-2e97-46e6-be4b-e79fed5b3491"
"Pat Bryant","219","174.2","-0.26","","DEN","WR","83","Rookie","e0d74144-6bd8-467f-b5a6-de01ef683097"
"Ray-Ray McCloud III","220","214.1","-0.03","211","ATL","WR","84","","4c50a7a3-7ac8-442f-a792-11977cea9322"
"Adam Thielen","221","173.7","-0.27","59","CAR","WR","85","","1cc825d2-4975-4afe-a47d-b69f0e57cbc1"
"Tutu Atwell","222","215.1","-0.03","253","LA","WR","86","","5ac44ad0-e9ce-44d0-9bf7-82950d46bd63"
